Module step	Module	KO id	Module Category	GCF_000297055.2_ASM29705v2_genomic Module step presence	GCF_000971475.1_ASM97147v1_genomic Module step presence	bin_1_Betaproteobacteria Module step presence	bin_2_Rhizobiales Module step presence
M00088+03	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	K01640	Lipid metabolism	Absent	Absent	Absent	Absent
M00088+04	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	K00019	Lipid metabolism	Absent	Absent	Absent	Absent
M00088+05	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	K01574	Lipid metabolism	Absent	Absent	Absent	Absent
M00089+01	Triacylglycerol biosynthesis	(K00629,K13506,K13507,K00630,K13508,K00631,K03621,K08591)	Lipid metabolism	Absent	Absent	Absent	Absent
M00089+02	Triacylglycerol biosynthesis	(K00655,K13509,K13513,K13517,K13519,K13523,K14674)	Lipid metabolism	Absent	Absent	Absent	Absent
M00089+03	Triacylglycerol biosynthesis	K01080	Lipid metabolism	Absent	Absent	Absent	Absent
M00089+04	Triacylglycerol biosynthesis	(K00635,K11155,K11160,K14456,K18851)	Lipid metabolism	Absent	Absent	Absent	Absent
M00090+01	Phosphatidylcholine (PC) biosynthesis, choline => PC	(K00866,K14156)	Lipid metabolism	Absent	Absent	Absent	Absent
M00090+02	Phosphatidylcholine (PC) biosynthesis, choline => PC	K00968	Lipid metabolism	Absent	Absent	Absent	Absent
M00090+03	Phosphatidylcholine (PC) biosynthesis, choline => PC	(K00994,K13644)	Lipid metabolism	Absent	Absent	Absent	Absent
M00091+01	Phosphatidylcholine (PC) biosynthesis, PE => PC	K00551,(K16369	Lipid metabolism	Absent	Absent	Absent	Absent
M00091+02	Phosphatidylcholine (PC) biosynthesis, PE => PC	K00550),K00570	Lipid metabolism	Absent	Absent	Absent	Absent
M00092+01	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	(K00894,K14156)	Lipid metabolism	Absent	Absent	Absent	Absent
M00092+02	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	K00967	Lipid metabolism	Absent	Absent	Absent	Absent
M00092+03	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	(K00993,K13644)	Lipid metabolism	Absent	Absent	Absent	Absent
M00093+01	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	K00981	Lipid metabolism	Present	Present	Absent	Present
M00093+02	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	(K00998,K17103)	Lipid metabolism	Present	Present	Absent	Present
M00093+03	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	K01613	Lipid metabolism	Present	Present	Absent	Present
M00094+01	Ceramide biosynthesis	K00654	Lipid metabolism	Absent	Absent	Absent	Absent
M00094+02	Ceramide biosynthesis	K04708	Lipid metabolism	Absent	Absent	Absent	Absent
M00094+03	Ceramide biosynthesis	(K04709,K04710)	Lipid metabolism	Absent	Absent	Absent	Absent
M00094+04	Ceramide biosynthesis	K04712	Lipid metabolism	Absent	Absent	Absent	Absent
M00095+01	C5 isoprenoid biosynthesis, mevalonate pathway	K00626	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00095+02	C5 isoprenoid biosynthesis, mevalonate pathway	K01641	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00095+03	C5 isoprenoid biosynthesis, mevalonate pathway	K00021	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00095+04	C5 isoprenoid biosynthesis, mevalonate pathway	K00869	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00095+05	C5 isoprenoid biosynthesis, mevalonate pathway	(K00938,K13273)	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00095+06	C5 isoprenoid biosynthesis, mevalonate pathway	K01597	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00095+07	C5 isoprenoid biosynthesis, mevalonate pathway	K01823	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00096+01	C5 isoprenoid biosynthesis, non-mevalonate pathway	K01662	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+02	C5 isoprenoid biosynthesis, non-mevalonate pathway	K00099	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+03	C5 isoprenoid biosynthesis, non-mevalonate pathway	(K00991,K12506)	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+04	C5 isoprenoid biosynthesis, non-mevalonate pathway	K00919	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+05	C5 isoprenoid biosynthesis, non-mevalonate pathway	(K01770,K12506)	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+06	C5 isoprenoid biosynthesis, non-mevalonate pathway	K03526	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+07	C5 isoprenoid biosynthesis, non-mevalonate pathway	K03527	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00096+08	C5 isoprenoid biosynthesis, non-mevalonate pathway	K01823	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00097+01	beta-Carotene biosynthesis, GGAP => beta-carotene	K02291	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00097+02	beta-Carotene biosynthesis, GGAP => beta-carotene	K02293	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00097+03	beta-Carotene biosynthesis, GGAP => beta-carotene	K15744	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00097+04	beta-Carotene biosynthesis, GGAP => beta-carotene	K00514	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00097+05	beta-Carotene biosynthesis, GGAP => beta-carotene	K09835	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00097+06	beta-Carotene biosynthesis, GGAP => beta-carotene	K06443	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00098+01	Acylglycerol degradation	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K14452,K14674,K14675,K17900)	Lipid metabolism	Absent	Absent	Absent	Absent
M00098+02	Acylglycerol degradation	K01054	Lipid metabolism	Absent	Absent	Absent	Absent
M00099+01	Sphingosine biosynthesis	K00654	Lipid metabolism	Absent	Absent	Absent	Absent
M00099+02	Sphingosine biosynthesis	K04708	Lipid metabolism	Absent	Absent	Absent	Absent
M00099+03	Sphingosine biosynthesis	(K04709,K04710)	Lipid metabolism	Absent	Absent	Absent	Absent
M00099+04	Sphingosine biosynthesis	K04712	Lipid metabolism	Absent	Absent	Absent	Absent
M00099+05	Sphingosine biosynthesis	(K01441,K12348,K12349)	Lipid metabolism	Absent	Absent	Absent	Absent
M00100+01	Sphingosine degradation	K04718	Lipid metabolism	Absent	Absent	Absent	Absent
M00100+02	Sphingosine degradation	K01634	Lipid metabolism	Absent	Absent	Absent	Absent
M00101+01	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K01852	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+02	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K05917	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+03	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K00222	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+04	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K07750	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+05	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K07748	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+06	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	(K09827,K13373)	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+07	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K09828	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+08	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K01824	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+09	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K00227	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00101+10	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K00213	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00102+01	Ergocalciferol biosynthesis	K00559	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00102+02	Ergocalciferol biosynthesis	K09829	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00102+03	Ergocalciferol biosynthesis	K00227	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00102+04	Ergocalciferol biosynthesis	K09831	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00102+05	Ergocalciferol biosynthesis	K00223	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00103+01	Cholecalciferol biosynthesis	K07419	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00103+02	Cholecalciferol biosynthesis	K07438	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+01	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K00489	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+02	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K12408	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+03	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K07431	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+04	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K00251	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+05	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K00037	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+06	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K00488	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+07	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K08748	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+08	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K01796	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+09	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K10214	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+10	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K12405	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+11	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K08764	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104+12	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K11992	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00106+01	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	K08748	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00106+02	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	K00659	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00107+01	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	K00498	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00107+02	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	(K00070,K01822)	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00108+01	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	K00513	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00108+02	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	(K00497,K07433)	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00108+03	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	K07433	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00109+01	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	K00512	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00109+02	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	K00513	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00109+03	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	(K00497,K07433)	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00109+04	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	(K15680,K00071)	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00110+01	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	K00512	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00110+02	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	(K00070,K01822)	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00110+03	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	K07434	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00112+01	Tocopherol/tocotorienol biosynthesis	K09833	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00112+02	Tocopherol/tocotorienol biosynthesis	(K12502,K18534)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00112+03	Tocopherol/tocotorienol biosynthesis	K09834	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00112+04	Tocopherol/tocotorienol biosynthesis	K05928	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00113+01	Jasmonic acid biosynthesis	K00454	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+02	Jasmonic acid biosynthesis	K01723	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+03	Jasmonic acid biosynthesis	K10525	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+04	Jasmonic acid biosynthesis	K05894	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+05	Jasmonic acid biosynthesis	K10526	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+06	Jasmonic acid biosynthesis	K00232	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+07	Jasmonic acid biosynthesis	K10527	Lipid metabolism	Absent	Absent	Absent	Absent
M00113+08	Jasmonic acid biosynthesis	(K00632,K07513)	Lipid metabolism	Absent	Absent	Absent	Absent
M00114+01	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	((K01810,K06859,K13810)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+02	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	(K01809,K16011),K15916)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+03	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	(K16881,(K17497,K01840,K15778)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+04	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	(K00966,K00971,K16011))	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+05	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	K10046	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+06	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	K14190	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+07	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	(K10047,K18649)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+08	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	(K00064,K17744)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00114+09	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	K00225	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00115+01	NAD biosynthesis, aspartate => NAD	K00278	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00115+02	NAD biosynthesis, aspartate => NAD	K03517	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00115+03	NAD biosynthesis, aspartate => NAD	K00767	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00115+04	NAD biosynthesis, aspartate => NAD	(K00969,K06210)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00115+05	NAD biosynthesis, aspartate => NAD	(K01916,K01950)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00116+01	Menaquinone biosynthesis, chorismate => menaquinone	(K01851,K02552,K02361)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+02	Menaquinone biosynthesis, chorismate => menaquinone	K02551	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+03	Menaquinone biosynthesis, chorismate => menaquinone	K08680	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+04	Menaquinone biosynthesis, chorismate => menaquinone	K02549	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+05	Menaquinone biosynthesis, chorismate => menaquinone	K01911	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+06	Menaquinone biosynthesis, chorismate => menaquinone	K01661	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+07	Menaquinone biosynthesis, chorismate => menaquinone	(K12073,K19222)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+08	Menaquinone biosynthesis, chorismate => menaquinone	K02548	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00116+09	Menaquinone biosynthesis, chorismate => menaquinone	K03183	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00117+01	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	(K03181,K18240)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+02	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K03179	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+03	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	(K03182+K03186)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+04	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K18800	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+05	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K00568	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+06	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K03185	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+07	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K03183	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+08	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K03184	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00117+09	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	K00568	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00118+01	Glutathione biosynthesis, glutamate => glutathione	(K11204+K11205,K01919)	Other amino acid metabolism	Present	Present	Present	Present
M00118+02	Glutathione biosynthesis, glutamate => glutathione	(K21456,K01920)	Other amino acid metabolism	Present	Present	Present	Present
M00119+01	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	K00826	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00119+02	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	K00606	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00119+03	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	K00077	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00119+04	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	K01579	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00119+05	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	(K01918,K13799)	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00120+01	Coenzyme A biosynthesis, pantothenate => CoA	(K00867,K03525,K09680,K01947)	Cofactor and vitamin metabolism	Present	Present	Absent	Present
M00120+02	Coenzyme A biosynthesis, pantothenate => CoA	((K01922,K21977)	Cofactor and vitamin metabolism	Present	Present	Absent	Present
M00120+03	Coenzyme A biosynthesis, pantothenate => CoA	K01598,K13038)	Cofactor and vitamin metabolism	Present	Present	Absent	Present
M00120+04	Coenzyme A biosynthesis, pantothenate => CoA	(K02318,(K00954,K02201)	Cofactor and vitamin metabolism	Present	Present	Absent	Present
M00120+05	Coenzyme A biosynthesis, pantothenate => CoA	K00859)	Cofactor and vitamin metabolism	Present	Present	Absent	Present
M00121+01	Heme biosynthesis, glutamate => protoheme/siroheme	(K01885,K14163)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+02	Heme biosynthesis, glutamate => protoheme/siroheme	K02492	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+03	Heme biosynthesis, glutamate => protoheme/siroheme	K01845	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+04	Heme biosynthesis, glutamate => protoheme/siroheme	K01698	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+05	Heme biosynthesis, glutamate => protoheme/siroheme	K01749	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+06	Heme biosynthesis, glutamate => protoheme/siroheme	(K01719,K13542,K13543)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+07	Heme biosynthesis, glutamate => protoheme/siroheme	K01599	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+08	Heme biosynthesis, glutamate => protoheme/siroheme	(K00228,K02495)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+09	Heme biosynthesis, glutamate => protoheme/siroheme	(K00230,K00231)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+10	Heme biosynthesis, glutamate => protoheme/siroheme	K01772	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00121+11	Heme biosynthesis, glutamate => protoheme/siroheme	(K02302,(K00589,K02303,K02496,K13542,K13543)+K02304+K03794)	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00122+01	Cobalamin biosynthesis, cobinamide => cobalamin	(K00798,K19221)	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00122+02	Cobalamin biosynthesis, cobinamide => cobalamin	K02232	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00122+03	Cobalamin biosynthesis, cobinamide => cobalamin	(K02225,K02227)	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00122+04	Cobalamin biosynthesis, cobinamide => cobalamin	K02231	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00122+05	Cobalamin biosynthesis, cobinamide => cobalamin	K00768	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00122+06	Cobalamin biosynthesis, cobinamide => cobalamin	K02226	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00122+07	Cobalamin biosynthesis, cobinamide => cobalamin	K02233	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00123+01	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	K00652	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00123+02	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	((K00833,K19563)	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00123+03	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	K01935,K19562)	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00123+04	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	K01012	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00124+01	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	K03472	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00124+02	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	K03473	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00124+03	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	K00831	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00124+04	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	K00097	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00124+06	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	K03474	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00124+07	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	K00275	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+01	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	(K01497,K14652)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+02	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	(K01498	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+03	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	K00082,K11752)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+04	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	(K20860,K20861,K20862,K21063,K21064)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+05	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	(K02858,K14652)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+06	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	K00794,K00793	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+07	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	((K00861,K20884)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125+08	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	K00953,K11753)	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00126+01	Tetrahydrofolate biosynthesis, GTP => THF	(K01495,K09007)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+02	Tetrahydrofolate biosynthesis, GTP => THF	(K01077,K01113)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+03	Tetrahydrofolate biosynthesis, GTP => THF	(K13939,K13940	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+04	Tetrahydrofolate biosynthesis, GTP => THF	(K00796,K18974,K18824,K18825),K01633	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+05	Tetrahydrofolate biosynthesis, GTP => THF	K00950	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+06	Tetrahydrofolate biosynthesis, GTP => THF	(K00796,K18974,K18824,K18825),K01633	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+07	Tetrahydrofolate biosynthesis, GTP => THF	K13941)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+08	Tetrahydrofolate biosynthesis, GTP => THF	(K11754,K01930,K20457)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00126+09	Tetrahydrofolate biosynthesis, GTP => THF	(K00287,K13998,K13938)	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00127+01	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	K03147	Cofactor and vitamin metabolism	Absent	Present	Present	Absent
M00127+02	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	(K00877,K00941,K14153)	Cofactor and vitamin metabolism	Absent	Present	Present	Absent
M00127+03	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	(K00878,K14154)	Cofactor and vitamin metabolism	Absent	Present	Present	Absent
M00127+04	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	(K00788,K14153,K14154)	Cofactor and vitamin metabolism	Absent	Present	Present	Absent
M00127+05	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	K00946	Cofactor and vitamin metabolism	Absent	Present	Present	Absent
M00128+01	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	K06125	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00128+02	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	K00591	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00128+03	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	K06126	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00128+04	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	K06127	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
