assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_900100975.1	GCF_900100975.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylophilus_rhizosphaerae_CBMB127	NCBI	492660	195	187	92.12	5.42	185	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus	Methylophilus rhizosphaerae
GCF_900103035.1	GCF_900103035.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_mobilis	NCBI	51642	189	184	90.64	3.45	180	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas mobilis
GCF_900106555.1	GCF_900106555.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_oligotropha_Nm75	NCBI	42354	191	186	91.63	2.46	182	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas oligotropha
GCF_900107165.1	GCF_900107165.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_halophila_Nm1	NCBI	44576	191	186	91.63	2.46	183	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas halophila
GCF_900109785.1	GCF_900109785.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosovibrio_tenuis_Nv1	NCBI	1233	188	182	89.66	3.94	181	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosovibrio	Nitrosovibrio tenuis
GCF_900110145.1	GCF_900110145.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_marina_Nm22	NCBI	917	191	184	90.64	3.45	179	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas marina
GCF_900114305.1	GCF_900114305.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_aestuarii_Nm69	NCBI	52441	190	184	90.64	2.96	180	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas aestuarii
GCF_900114795.1	GCF_900114795.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_nitrosa_Nm146	NCBI	52442	190	186	91.63	1.97	182	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas nitrosa
GCF_900143275.1	GCF_900143275.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_cryotolerans_ATCC_49181	NCBI	1131553	186	183	90.15	1.48	180	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas cryotolerans
bin_1_Betaproteobacteria	bin_1_Betaproteobacteria	input	NA	186	178	87.68	3.94	178	Yes	NA	NA	NA	NA	NA	NA	NA
Candidatus_Gallionella_acididurans	Candidatus_Gallionella_acididurans	input	NA	190	182	89.66	4.93	179	Yes	NA	NA	NA	NA	NA	NA	NA
